compliance,acceleration,deceleration,result
3,5,5,80
1,3,3,35
5,5,4,85
4,2,3,58
4,4,4,97
2,3,3,42
4,5,3,74
3,4,3,67
3,5,5,83
3,3,3,40
3,5,5,91
3,4,3,45
3,3,3,45
4,4,4,85
5,4,3,89
